catalogue_ticker,company_name,catalogue_country,catalogue_exchange_hint,catalogue_is_us_listed,resolution_status,resolution_note,exchange_code,mic,symbol,symbol_format,security_kind,listing_country,currency,figi,share_class_figi,isin,is_primary,is_us,confidence,source
G24,Scout24 SE,CH,SWX,false,resolved,,US,OOTC,SCOTF,us,ordinary,US,USD,BBG00QPHW2F1,BBG005ZN5L52,,false,true,0.9,finnhub_directory
G24,Scout24 SE,CH,SWX,false,resolved,,US,OOTC,SCCTY,us,adr,US,USD,BBG00J6P3GL4,BBG00J6P3H96,,false,true,0.75,finnhub_directory
GALD.Y,Galderma Group AG,US,OTCPK,true,resolved,resolved by name search to GDERF on US,US,XNYS,GDERF,us,ordinary,US,USD,BBG01MQCZ1Y7,BBG01LYFLBY6,,true,true,0.7,finnhub_directory
GALD.Y,Galderma Group AG,US,OTCPK,true,resolved,resolved by name search to GDERF on US,US,OOTC,GALDY,us,adr,US,USD,BBG01MNP8B42,BBG01MNP8C68,,false,true,0.7,finnhub_directory
GAP,Gap Inc,US,NYSE,true,resolved,matched US directory as GAP,US,XNYS,GAP,us,ordinary,US,USD,BBG000BKLH74,BBG001S5RNN0,,true,true,0.95,finnhub_directory
GAW,Games Workshop Group PLC,GB,LSE,false,resolved,,LN,XLON,GAW,suffixed,ordinary,GB,GBP,BBG000DMJJ77,BBG001S89BD1,,true,false,0.95,openfigi
GAW,Games Workshop Group PLC,GB,LSE,false,resolved,,US,OOTC,GMWKF,us,ordinary,US,USD,BBG000KNQZW5,BBG001S89BD1,,false,true,0.9,finnhub_directory
GAW,Games Workshop Group PLC,GB,LSE,false,resolved,,US,OOTC,GWKSY,us,adr,US,USD,BBG01T2H8T03,BBG01T2H8TV9,,false,true,0.75,finnhub_directory
GBTG,Global Business Travel Group Inc,US,NYSE,true,resolved,matched US directory as GBTG,US,XNYS,GBTG,us,ordinary,US,USD,BBG00Y52B8J5,BBG00Y52B9C0,,true,true,0.95,finnhub_directory
GCT,GigaCloud Technology Inc,US,NASDAQGM,true,resolved,matched US directory as GCT,US,XNAS,GCT,us,ordinary,US,USD,BBG018PWQD97,BBG018PWQF65,,true,true,0.95,finnhub_directory
GD,General Dynamics Corporation,US,NYSE,true,resolved,matched US directory as GD,US,XNYS,GD,us,ordinary,US,USD,BBG000BK67C7,BBG001S5RHP1,,true,true,0.95,finnhub_directory
GDDY,Godaddy Inc,US,NYSE,true,resolved,matched US directory as GDDY,US,XNYS,GDDY,us,ordinary,US,USD,BBG006MDLY05,BBG006MDLXZ9,,true,true,0.95,finnhub_directory
GE,General Electric Co,US,,true,resolved,matched US directory as GE,US,XNYS,GE,us,ordinary,US,USD,BBG000BK6MB5,BBG001S5PVD5,,true,true,0.95,finnhub_directory
GEBN,Geberit AG,CH,SWX,false,resolved,,SW,XSWX,GEBN,suffixed,ordinary,CH,CHF,BBG000FHLJD6,BBG001SCXW30,,true,false,0.95,openfigi
GEBN,Geberit AG,CH,SWX,false,resolved,,US,OOTC,GBERF,us,ordinary,US,USD,BBG000CZZWX3,BBG001SCXW30,,false,true,0.9,finnhub_directory
GEHC,GE HealthCare Technologies Inc,US,NASDAQGS,true,resolved,matched US directory as GEHC,US,XNAS,GEHC,us,ordinary,US,USD,BBG01BFR8YV1,BBG01BFR8YW0,,true,true,0.95,finnhub_directory
GELY.F,Geely Automobile Holdings Ltd,US,OTCPK,false,resolved,resolved by name search to GELYF on US,US,XNYS,GELYF,us,ordinary,US,USD,BBG000BYKWS9,BBG001SD4Y36,,true,true,0.7,finnhub_directory
GEN,Gen Digital Inc,US,NASDAQGS,true,resolved,matched US directory as GEN,US,XNAS,GEN,us,ordinary,US,USD,BBG000BH2JM1,BBG001S5QG38,,true,true,0.95,finnhub_directory
GEV,GE Vernova LLC,US,NYSE,true,resolved,matched US directory as GEV,US,XNYS,GEV,us,ordinary,US,USD,BBG013G17W31,BBG013G17W77,,true,true,0.95,finnhub_directory
GFS,GlobalFoundries Inc,US,NASDAQGS,true,resolved,matched US directory as GFS,US,XNAS,GFS,us,ordinary,US,USD,BBG000C2L5G9,BBG001SV0YS3,,true,true,0.95,finnhub_directory
GHC,Graham Holdings Co,US,NYSE,true,resolved,matched US directory as GHC,US,XNYS,GHC,us,ordinary,US,USD,BBG000C3FGH9,BBG001S6H317,,true,true,0.95,finnhub_directory
GHC,Graham Holdings Co,US,NYSE,true,resolved,matched US directory as GHC,US,XNYS,GHM,us,ordinary,US,USD,BBG000BKB811,BBG001S5RK92,,false,true,0.75,finnhub_directory
GHM,Graham Corporation,US,NYSE,true,resolved,matched US directory as GHM,US,XNYS,GHM,us,ordinary,US,USD,BBG000BKB811,BBG001S5RK92,,true,true,0.95,finnhub_directory
GHM,Graham Corporation,US,NYSE,true,resolved,matched US directory as GHM,US,XNYS,GHC,us,ordinary,US,USD,BBG000C3FGH9,BBG001S6H317,,false,true,0.75,finnhub_directory
GIB,CGI Inc,CA,NYSE,true,resolved,matched US directory as GIB,US,XNYS,GIB,us,ordinary,US,USD,BBG000FWZL89,BBG001S5YY67,,true,true,0.95,finnhub_directory
GIII,G-III Apparel Group Ltd,US,NASDAQGS,true,resolved,matched US directory as GIII,US,XNAS,GIII,us,ordinary,US,USD,BBG000C2YZ60,BBG001S6F0Z8,,true,true,0.95,finnhub_directory
GILD,Gilead Sciences Inc,US,NASDAQGS,true,resolved,matched US directory as GILD,US,XNAS,GILD,us,ordinary,US,USD,BBG000CKGBP2,BBG001S6Y1X7,,true,true,0.95,finnhub_directory
GILT,Gilat Satellite Networks Ltd,US,NASDAQGS,true,resolved,matched US directory as GILT,US,XNAS,GILT,us,ordinary,US,USD,BBG000BDQ562,BBG001S62VP5,,true,true,0.95,finnhub_directory
GIS,General Mills Inc,US,NYSE,true,resolved,matched US directory as GIS,US,XNYS,GIS,us,ordinary,US,USD,BBG000BKCFC2,BBG001S5RKR2,,true,true,0.95,finnhub_directory
GL,Globe Life Inc,US,NYSE,true,resolved,matched US directory as GL,US,XNYS,GL,us,ordinary,US,USD,BBG000BVD6X4,BBG001S5WRX4,,true,true,0.95,finnhub_directory
GLBE,Global-E Online Ltd,IL,NASDAQGS,true,resolved,matched US directory as GLBE,US,XNAS,GLBE,us,ordinary,US,USD,BBG00ZKY1P71,BBG00ZKY1Q42,,true,true,0.95,finnhub_directory
GLOB,Globant SA,LU,NYSE,true,resolved,matched US directory as GLOB,US,XNYS,GLOB,us,ordinary,US,USD,BBG00564Y443,BBG00564Y4W2,,true,true,0.95,finnhub_directory
GLW,Corning Incorporated,US,NYSE,true,resolved,matched US directory as GLW,US,XNYS,GLW,us,ordinary,US,USD,BBG000BKFZM4,BBG001S5RLH1,,true,true,0.95,finnhub_directory
GM,General Motors Company,US,NYSE,true,resolved,matched US directory as GM,US,XNYS,GM,us,ordinary,US,USD,BBG000NDYB67,BBG001SM1DK6,,true,true,0.95,finnhub_directory
GMBX.F,Grupo Mexico SAB de CV,US,OTCPK,false,resolved,resolved by name search to GMBXF on US,US,XNYS,GMBXF,us,ordinary,US,USD,BBG000BS5R19,BBG001SF7CB7,,true,true,0.7,finnhub_directory
GMED,Globus Medical,US,NYSE,true,resolved,matched US directory as GMED,US,XNYS,GMED,us,ordinary,US,USD,BBG002V87SD0,BBG002V87T57,,true,true,0.95,finnhub_directory
GMWK.F,Games Workshop Group PLC,US,OTCPK,false,resolved,resolved by name search to GWKSY on US,US,XNYS,GWKSY,us,adr,US,USD,BBG01T2H8T03,BBG01T2H8TV9,,true,true,0.7,finnhub_directory
GMWK.F,Games Workshop Group PLC,US,OTCPK,false,resolved,resolved by name search to GWKSY on US,US,OOTC,GMWKF,us,ordinary,US,USD,BBG000KNQZW5,BBG001S89BD1,,false,true,0.7,finnhub_directory
GNRC,Generac Holdings Inc,US,NYSE,true,resolved,matched US directory as GNRC,US,XNYS,GNRC,us,ordinary,US,USD,BBG000PQ4W72,BBG001T5VGH6,,true,true,0.95,finnhub_directory
GNTX,Gentex Corporation,US,NASDAQGS,true,resolved,matched US directory as GNTX,US,XNAS,GNTX,us,ordinary,US,USD,BBG000BKJ092,BBG001S5RMR8,,true,true,0.95,finnhub_directory
GOLD,Goldcom Inc,US,NYSE,true,resolved,no identifier source could confirm this security; using the supplier's US ticker at reduced confidence,US,,GOLD,us,ordinary,US,USD,BBG005ZVDK48,BBG005ZVDK57,,true,true,0.5,finnhub_directory
GOLF,Acushnet Holdings Corp,US,NYSE,true,resolved,matched US directory as GOLF,US,XNYS,GOLF,us,ordinary,US,USD,BBG00D5L3SS4,BBG00D5L3ST3,,true,true,0.95,finnhub_directory
GOOGL,Alphabet Inc,US,,true,resolved,matched US directory as GOOGL,US,XNAS,GOOGL,us,ordinary,US,USD,BBG009S39JX6,BBG009S39JY5,,true,true,0.95,finnhub_directory
GOOGL,Alphabet Inc,US,,true,resolved,matched US directory as GOOGL,US,XNAS,GOOG,us,ordinary,US,USD,BBG009S3NB30,BBG009S3NB21,,false,true,0.75,finnhub_directory
GPC,Genuine Parts Co,US,NYSE,true,resolved,matched US directory as GPC,US,XNYS,GPC,us,ordinary,US,USD,BBG000BKL348,BBG001S5RNH7,,true,true,0.95,finnhub_directory
GPN,Global Payments Inc,US,NYSE,true,resolved,matched US directory as GPN,US,XNYS,GPN,us,ordinary,US,USD,BBG000CX0P89,BBG001SGS2Z8,,true,true,0.95,finnhub_directory
GQPI.L,GQG Partners Inc.,US,OTCPK,false,resolved,resolved by name search to GQPIL on US,US,XNYS,GQPIL,us,depositary,US,USD,BBG0133RCYG4,BBG0131F7GB2,,true,true,0.7,finnhub_directory
GRAB,Grab Holdings Ltd,SG,NASDAQGS,true,resolved,matched US directory as GRAB,US,XNAS,GRAB,us,ordinary,US,USD,BBG011768M53,BBG011768M71,,true,true,0.95,finnhub_directory
GRBK,Green Brick Partners Inc,US,NYSE,true,resolved,matched US directory as GRBK,US,XNYS,GRBK,us,ordinary,US,USD,BBG000QGYG84,BBG001SS5LM9,,true,true,0.95,finnhub_directory
GRC,Gorman-Rupp Company,US,NYSE,true,resolved,matched US directory as GRC,US,XNYS,GRC,us,ordinary,US,USD,BBG000BKN0V2,BBG001S5RP00,,true,true,0.95,finnhub_directory
GRDN,Guardian Pharmacy Services Inc,US,NYSE,true,resolved,matched US directory as GRDN,US,XNYS,GRDN,us,ordinary,US,USD,BBG01JM69P40,BBG01JM69PZ6,,true,true,0.95,finnhub_directory
GRG,Greggs PLC,GB,LSE,false,resolved,,LN,XLON,GRG,suffixed,ordinary,GB,GBP,BBG000BDKLH1,BBG001S624Z4,,true,false,0.95,openfigi
GRG,Greggs PLC,GB,LSE,false,resolved,,US,OOTC,GGGSF,us,ordinary,US,USD,BBG000D1PWH6,BBG001S624Z4,,false,true,0.9,finnhub_directory
GRG,Greggs PLC,GB,LSE,false,resolved,,US,OOTC,GGGSY,us,adr,US,USD,BBG000JSF901,BBG001T3NYB7,,false,true,0.75,finnhub_directory
GRMN,Garmin Ltd,US,NYSE,true,resolved,matched US directory as GRMN,US,XNYS,GRMN,us,ordinary,US,USD,BBG000C4LN67,BBG001SG0H12,,true,true,0.95,finnhub_directory
GRND,Grindr,US,NYSE,true,resolved,matched US directory as GRND,US,XNYS,GRND,us,ordinary,US,USD,BBG00YV3H700,BBG00YV3H7V6,,true,true,0.95,finnhub_directory
GRUMAB,Gruma SAB de CV,MX,BMV,false,resolved,"name match 0.88 against ""GRUMA S.A.B.-B""",MM,XMEX,GRUMAB,suffixed,ordinary,MX,MXN,BBG000LXPKV7,BBG001SF7FF6,,true,false,0.95,openfigi
GRUMAB,Gruma SAB de CV,MX,BMV,false,resolved,"name match 0.88 against ""GRUMA S.A.B.-B""",US,OOTC,GPAGF,us,ordinary,US,USD,BBG000PWJCB2,BBG001SF7FF6,,false,true,0.9,finnhub_directory
GRUMAB,Gruma SAB de CV,MX,BMV,false,resolved,"name match 0.88 against ""GRUMA S.A.B.-B""",US,OOTC,GMKKY,us,adr,US,USD,BBG00BR9R3F4,BBG00BR9R444,,false,true,0.75,finnhub_directory
GS,Goldman Sachs Group Inc,US,NYSE,true,resolved,matched US directory as GS,US,XNYS,GS,us,ordinary,US,USD,BBG000C6CFJ5,BBG001SC07Z6,,true,true,0.95,finnhub_directory
GSL,Global Ship Lease Inc,US,NYSE,true,resolved,matched US directory as GSL,US,XNYS,GSL,us,ordinary,US,USD,BBG000C3TZ64,BBG001SV7NS0,,true,true,0.95,finnhub_directory
GVA,Granite Construction Incorporated,US,NYSE,true,resolved,matched US directory as GVA,US,XNYS,GVA,us,ordinary,US,USD,BBG000DVB833,BBG001S8WD96,,true,true,0.95,finnhub_directory
GWLL.F,Great Wall Motor Co Ltd,US,OTCPK,false,resolved,resolved by name search to GWLLF on US,US,XNYS,GWLLF,us,ordinary,US,USD,BBG000KH7K89,BBG001SFWS51,,true,true,0.7,finnhub_directory
GWRE,Guidewire Software Inc,US,NYSE,true,resolved,matched US directory as GWRE,US,XNYS,GWRE,us,ordinary,US,USD,BBG001C7PM75,BBG001TWHGX5,,true,true,0.95,finnhub_directory
